,ds,yhat,yhat_lower,yhat_upper
56,2018-02-26,12870.55078519952,7773.846737053362,18663.044447188124
57,2018-02-27,12779.743410394789,7225.201245048512,18285.59162897052
58,2018-02-28,12785.471466762003,7305.459219548732,18544.12958511452
59,2018-03-01,12667.821726631819,7471.434874794371,17777.076617338043
60,2018-03-02,12678.530359479142,7409.7124361721735,18479.138394314497
61,2018-03-03,12617.543348118614,7065.169273933027,18030.076614915663
62,2018-03-04,12485.189835945352,7171.831374640091,17689.601858971753
63,2018-03-05,12433.115605730876,6765.991590130657,17742.741815811514
64,2018-03-06,12303.233103474795,6752.801351616164,17538.813803296296
65,2018-03-07,12292.7819097632,6847.565336951139,17690.972184044575
66,2018-03-08,12180.806610623165,6711.042857263355,17722.36713616037
67,2018-03-09,12217.469437360058,6058.895337768943,17704.76317581485
68,2018-03-10,12200.666761783064,6847.271115746045,17625.212353624232
69,2018-03-11,12128.269809109908,6686.2558664016715,17497.99364257222
70,2018-03-12,12149.134807318587,6825.741412550267,17589.514393993926
71,2018-03-13,12102.136787168683,6607.528445237501,17429.677256257182
72,2018-03-14,12181.31857972033,6670.631262927488,17307.966615268568
73,2018-03-15,12162.45951632665,6688.214004725476,17281.317829944957
74,2018-03-16,12292.4787286511,7304.618241410478,17641.377129534274
75,2018-03-17,12366.139704792808,6669.492424340189,17986.378309305423
76,2018-03-18,12378.37413971307,7279.431729229587,18097.38752546859
77,2018-03-19,12475.36814190305,6817.939604757968,17823.692903840252
78,2018-03-20,12493.663076735174,7184.177059823163,17830.73261155816
79,2018-03-21,12625.360931830422,7352.908935521149,18398.825536690598
80,2018-03-22,12644.737361374808,7409.649281034438,18024.53593130924
81,2018-03-23,12797.676304682649,7040.417838984511,18256.422720612096
82,2018-03-24,12878.392201141713,7412.601742338025,17940.32933153433
83,2018-03-25,12881.757586433856,8027.034289538106,18526.546849036087
84,2018-03-26,12954.379261116766,7560.899135905902,18273.54869735277
85,2018-03-27,12933.675815094743,7494.357911647039,18540.401436766
86,2018-03-28,13013.04725169531,7497.748170616031,18535.084051814392
87,2018-03-29,12968.441053945682,7460.8505279981055,18200.586053280807
88,2018-03-30,13066.559268292882,7712.731305263549,17981.431451794222
89,2018-03-31,13085.028332895008,7571.8143230659325,18449.04223176826
90,2018-04-01,13021.143390693547,7313.414563743582,18358.103457530604
91,2018-04-02,13024.040303193135,7607.589334366617,18632.868987436545
92,2018-04-03,12933.696310536756,7151.763619262285,18619.997474200158
93,2018-04-04,12946.023045688857,7507.539669905128,18257.796653030335
94,2018-04-05,12839.35837703994,7415.485658967937,18524.49683545368
95,2018-04-06,12863.774488974901,7486.563960494164,18638.586119173076
96,2018-04-07,12817.671835035804,7593.095267888825,17858.48042545901
97,2018-04-08,12699.980359278763,7362.064863136021,18223.36440223633
98,2018-04-09,12661.114687147077,7063.2371875761855,18130.729843866
99,2018-04-10,12541.939384409057,7313.802569646728,18147.940724714364
100,2018-04-11,12538.838059570955,7032.85001011118,17608.21743496732
101,2018-04-12,12430.193321422787,7281.387770860157,17933.106552462534
102,2018-04-13,12465.695201444614,6893.902555902158,17906.3527511166
103,2018-04-14,12442.947537631455,6841.219088845734,17446.411688630415
104,2018-04-15,12359.693247125217,6918.383374083478,17928.925395539063
105,2018-04-16,12364.80440770337,7010.071088741475,17806.074353464483
106,2018-04-17,12297.292177849731,6978.33485821683,17651.524583643928
107,2018-04-18,12351.429007267661,7044.205293176985,17619.690536364113
