timestamp,Open,High,Low,Close,Volume
2018-03-14,175.50333333333333,178.88,156.18,160.35,982287.1630172773
2018-03-15,160.33333333333334,168.01,149.55,163.9675,1240832.4898992467
2018-03-16,164.05166666666668,172.1,157.5,164.61499999999995,827209.2765373493
2018-03-17,164.515,165.96,150.0,152.19799999999995,773241.4647426725
2018-03-18,152.14999999999995,158.0,136.86,153.56199999999995,1503453.5093713233
2018-03-19,153.65500000000003,164.0,150.46,161.34666666666666,1085376.4682138765
2018-03-20,161.36833333333334,174.0,154.68,168.81166666666667,938420.1934535134
2018-03-21,168.84833333333333,175.99,165.12,168.60666666666663,820423.6226055755
2018-03-22,168.49599999999998,172.68,159.49,163.81400000000005,723846.8579291686
2018-03-23,163.69,169.55,156.13,168.85333333333332,624717.4235940713
2018-03-24,168.83833333333334,170.0,157.73,158.81599999999997,534759.1568674704
2018-03-25,158.844,164.0,156.69,160.0325,399044.2507994276
2018-03-26,160.002,161.44,141.56,148.03666666666666,979808.083438038
2018-03-27,148.09666666666666,149.48,134.4,134.845,912029.9135938378
2018-03-28,134.9225,140.12,130.0,131.45833333333334,788229.4626330237
2018-03-29,131.474,132.78,112.0,114.53,1706655.2031699794
2018-03-30,114.432,126.91,109.0,118.305,1646763.2808673393
2018-03-31,118.27833333333336,125.8,115.17,116.0925,851688.1276848796
2018-04-01,116.45,118.83,109.03,114.908,766695.6662646007
2018-04-02,114.97399999999998,122.0,113.54,119.14,686277.5844529632
2018-04-03,119.114,159.65,117.99,134.015,999386.3967164258
2018-04-04,133.96999999999997,135.15,114.75,118.13,1232800.2618763293
2018-04-05,118.08200000000002,122.87,113.15,118.47833333333334,839719.3408354002
2018-04-06,118.56,120.5,111.31,112.844,575322.7177956695
2018-04-07,112.83,120.0,112.12,115.8975,494985.1728106813
2018-04-08,115.946,118.97,114.95,117.64,338587.32873212715
2018-04-09,117.73333333333332,123.41,112.33,114.8375,811374.3841158987
2018-04-10,114.8325,115.39,111.0,114.1075,488330.49325187254
2018-04-11,114.16666666666669,120.66,112.89,118.15666666666664,512826.75146041194
2018-04-12,118.24166666666666,131.0,112.61,129.68666666666667,1811831.5734250678
2018-04-13,129.63333333333333,134.68,123.55,125.402,1365118.6041254813
2018-04-14,125.4075,130.0,124.0,126.32,522495.4547369352
2018-04-15,126.43000000000002,134.68,126.01,132.47199999999998,573520.1382933939
2018-04-16,132.54333333333335,133.49,124.77,128.7825,652076.0256604861
2018-04-17,128.72799999999998,140.87,128.55,132.185,1244095.7538979575
2018-04-18,132.15,141.69,131.5,140.41333333333333,787966.2567414232
2018-04-19,140.4,147.74,138.47,146.58200000000005,818935.8553710462
2018-04-20,146.506,156.88,142.62,155.67600000000002,988035.0657532442
2018-04-21,155.6966666666667,157.1,139.8,148.57333333333332,970277.4948509142
2018-04-22,148.52833333333334,153.75,144.07,146.49333333333334,554111.4069044527
2018-04-23,146.55666666666667,154.45,145.8,152.60399999999998,564511.8837681129
2018-04-24,152.585,166.31,152.42,164.83333333333334,1220004.0146963866
2018-04-25,164.54,165.04,138.8,144.86,1446125.1186680994
